FORMAT: ADJACENCY_MATRIX_WITH_HEURISTIC

GRAPH:
s: 0,7,2,3,0,0,0,0,0,0,0,0,0
a: 7,0,3,0,4,0,0,0,0,0,0,0,0
b: 2,3,0,0,4,0,0,0,1,0,0,0,0
c: 3,0,0,0,0,0,0,0,0,0,0,0,2
d: 0,4,4,0,0,0,5,0,0,0,0,0,0
e: 0,0,0,0,0,0,0,2,0,0,0,5,0
f: 0,0,0,0,5,0,0,0,3,0,0,0,0
g: 0,0,0,0,0,2,0,0,2,0,0,0,0
h: 0,0,1,0,0,0,3,2,0,0,0,0,0
i: 0,0,0,0,0,0,0,0,0,0,6,4,4
j: 0,0,0,0,0,0,0,0,0,6,0,4,4
k: 0,0,0,0,0,5,0,0,0,4,4,0,0
l: 0,0,0,2,0,0,0,0,0,4,4,0,0

EUCLIDEAN_COORDS:
s: 2,6
a: 0,4
b: 2,4
c: 5,4
d: 0,2
e: 5,0
f: 1,0
g: 4,1
h: 2,2
i: 5,3
j: 7,3
k: 6,2
l: 6,4
